trait,mutation_prop,mutation_scale_fung,mutation_scale_host,mu,b,score,nk,nl,date,trial_number
Fungicide,1.234375e-05,0.0019190807543534802,0.0019190807543534802,9.590528108612817,0.8156344734666119,651396.0,500,10,2022-05-13 10:35,524
Mariboss,1.234375e-05,0.0019190807543534,0.0019190807543534,0.8089358816813786,6.585357214619326,57214.0,10,500,2022-05-13 10:24,530
