,year,RD,RDU,k,kU,R2,RDnoise,thisRD,knoise,thisK,control,control_with_noise,yearnoise,knoiset,RDnoiset,thisRDt,thisKt,control_with_noise_t
0,2001,0.76,0.033,2.32,0.29,0.99,0.05821372741693292,0.8182137274169329,0.0017441209830854328,2.321744120983085,68.53120749406852,73.79450510736363,2000.9607885422542,-0.045642127290328655,-0.03314796853348831,0.7268520314665117,2.2743578727096714,65.20858957764943
1,2001,0.76,0.033,2.32,0.29,0.99,0.013205187876118369,0.7732051878761184,0.21830365052203032,2.53830365052203,68.53120749406852,71.21217473836914,2001.0379945711188,0.0014372961399749598,-0.005557364837860208,0.7544426351621398,2.3214372961399747,68.04073394251931
2,2001,0.76,0.033,2.32,0.29,0.99,0.03229835347548939,0.7922983534754894,0.0674077660944896,2.3874077660944892,68.53120749406852,71.95118705606276,2000.9783139589622,0.2536949591944327,-0.013926339211947,0.746073660788053,2.5736949591944325,68.9183103355771
3,2001,0.76,0.033,2.32,0.29,0.99,0.07394947557364812,0.8339494755736481,0.17153512812961683,2.4915351281296165,68.53120749406852,76.49128139378804,2000.871846470677,-0.4058158936050645,-0.0379358412068328,0.7220641587931672,1.9141841063949354,61.55870638412657
4,2001,0.76,0.033,2.32,0.29,0.99,0.06162941367494893,0.8216294136749489,-0.29613183860251163,2.023868161397488,68.53120749406852,71.30565722726024,2000.9444177821,0.5413040867643728,-0.009727612130964968,0.750272387869035,2.8613040867643726,70.73612147514142
5,2001,0.76,0.033,2.32,0.29,0.99,-0.032250170035921566,0.7277498299640784,0.042577598366761914,2.362577598366762,68.53120749406852,65.9212418385435,2000.93293322634,0.026847636861327094,0.06424678036739094,0.824246780367391,2.346847636861327,74.53908643818113
6,2001,0.76,0.033,2.32,0.29,0.99,0.03135291777834445,0.7913529177783445,0.28848409740258024,2.60848409740258,68.53120749406852,73.30728620549158,2001.115088437646,-0.027342351947236224,-0.030341716117649877,0.7296582838823501,2.2926576480527636,65.59644837793476
7,2001,0.76,0.033,2.32,0.29,0.99,-0.00499478787382403,0.755005212126176,-0.03345077468590121,2.2865492253140984,68.53120749406852,67.82842150041037,2001.081426854952,-0.14343345489106596,-0.028306153849041577,0.7316938461509584,2.1765665451089338,64.86975785268527
8,2001,0.76,0.033,2.32,0.29,0.99,-0.003406222109187409,0.7565937778908126,-0.6391265022701128,1.6808734977298871,68.53120749406852,61.57075048619319,2001.0062989785372,0.3420992797196783,-0.01604413542373073,0.7439558645762693,2.662099279719678,69.20266033432154
9,2001,0.76,0.033,2.32,0.29,0.99,0.013549750563966288,0.7735497505639662,-0.10627229884423621,2.2137277011557637,68.53120749406852,68.90065810649232,2001.10782709303,0.10746591327107344,-0.002725171862133862,0.7572748281378662,2.427465913271073,69.04375939457688
10,2001,0.76,0.033,2.32,0.29,0.99,0.0047534378483089735,0.764753437848309,0.24071588455502907,2.560715884555029,68.53120749406852,70.56766791132215,2000.9690200638727,0.3222661536676367,-0.01722680358839027,0.7427731964116098,2.6422661536676366,68.9887940138185
11,2001,0.76,0.033,2.32,0.29,0.99,0.04799102572977818,0.8079910257297782,0.2186794018972863,2.5386794018972862,68.53120749406852,74.41834739505194,2001.1160896795902,0.07689355047895244,-0.008849455112768688,0.7511505448872313,2.396893550478952,68.27956934191161
12,2001,0.76,0.033,2.32,0.29,0.99,0.025114244929850784,0.7851142449298508,-0.35110567171523493,1.9688943282847648,68.53120749406852,67.55035540971323,2000.995496752382,0.37963801401664926,-0.058108710570073524,0.7018912894299265,2.699638014016649,65.47032471175677
13,2001,0.76,0.033,2.32,0.29,0.99,0.014647486680599047,0.774647486680599,0.3916729101086337,2.7116729101086334,68.53120749406852,72.31910705895493,2001.010999514694,-0.2578134219435327,-0.03376556652817638,0.7262344334718236,2.062186578056467,63.387514359967234
14,2001,0.76,0.033,2.32,0.29,0.99,0.011011252803350805,0.7710112528033508,0.5624612970626606,2.8824612970626604,68.53120749406852,72.78371142466598,2001.1099476828263,-0.16437370912055524,0.026461555693168673,0.7864615556931687,2.155626290879445,69.53652227659805
15,2001,0.76,0.033,2.32,0.29,0.99,0.049304609414201006,0.809304609414201,-0.05577678295091681,2.264223217049083,68.53120749406852,72.52091853377001,2001.0087321577178,-0.15772647630599398,-0.05405104270981331,0.7059489572901867,2.162273523694006,62.47201939533517
16,2001,0.76,0.033,2.32,0.29,0.99,-0.00677022270427143,0.7532297772957286,-0.1681690867963809,2.151830913203619,68.53120749406852,66.56509372145922,2000.9397574700922,0.16173844140019925,-0.003570900926086594,0.7564290990739134,2.481738441400199,69.31933137032395
17,2001,0.76,0.033,2.32,0.29,0.99,0.010331234154479745,0.7703312341544798,0.3215560275476566,2.6415560275476566,68.53120749406852,71.54448904495547,2001.008043151071,0.29149571419134973,-0.016287275075023745,0.7437127249249763,2.6114957141913497,68.91058863428586
18,2001,0.76,0.033,2.32,0.29,0.99,-0.02818515939695692,0.7318148406030431,-0.1660941789611154,2.1539058210388844,68.53120749406852,64.69023069427095,2001.1170213756984,0.15177289764953106,0.00030659482908176644,0.7603065948290818,2.471772897649531,69.61100835013426
19,2001,0.76,0.033,2.32,0.29,0.99,-0.0842486639225246,0.6757513360774754,0.17454560698225963,2.4945456069822596,68.53120749406852,61.99789119846413,2001.123906037386,-1.2857409957780888,0.08127532947238854,0.8412753294723886,1.034259004221911,54.22106152159911
