value
16
54
121
115
38
80
62
129
23
132
18
179
153
9
21
83
52
46
156
77
68
67
65
142
136
42
165
74
183
116
81
88
63
8
90
191
97
36
35
85
133
25
1
159
126
61
60
50
150
37
185
138
174
113
12
43
125
139
144
195
95
41
145
93
73
70
122
75
119
160
128
3
148
152
69
2
32
187
111
112
19
192
91
78
151
5
49
123
89
103
58
158
15
155
39
76
48
99
131
14
117
82
164
34
7
26
176
66
47
6
110
107
92
59
147
44
157
24
87
56
186
118
120
135
31
17
86
146
143
40
106
94
102
96
140
104
161
64
189
20
13
180
100
109
130
28
45
53
27
182
114
0
55
22
105
33
51
4
101
71
30
79
84
98
29
72
